fold,accuracy,precision,recall,f1,mcc,auc,specificity,tn,fp,fn,tp
1,0.871479,0.911348,0.842623,0.875639,0.745538,0.960107,0.904943,238,25,48,257
2,0.867958,0.911032,0.836601,0.872232,0.738996,0.946403,0.904580,237,25,50,256
3,0.882042,0.890110,0.867857,0.878843,0.764188,0.953925,0.895833,258,30,37,243
4,0.883803,0.905537,0.882540,0.893891,0.765842,0.954978,0.885375,224,29,37,278
5,0.829225,0.865052,0.811688,0.837521,0.659424,0.916652,0.850000,221,39,58,250
6,0.862676,0.883392,0.847458,0.865052,0.726038,0.947501,0.879121,240,33,45,250
7,0.855379,0.876761,0.841216,0.858621,0.711374,0.952042,0.870849,236,35,47,249
8,0.858907,0.866906,0.848592,0.857651,0.717984,0.943158,0.869258,246,37,43,241
9,0.864198,0.875887,0.854671,0.865149,0.728645,0.945496,0.874101,243,35,42,247
10,0.867725,0.883803,0.856655,0.870017,0.735805,0.947423,0.879562,241,33,42,251
