fold,accuracy,precision,recall,f1,mcc,auc,specificity,tn,fp,fn,tp
1,0.906690,0.881818,0.954098,0.916535,0.814357,0.964196,0.851711,224,39,14,291
2,0.896127,0.875380,0.941176,0.907087,0.792340,0.944264,0.843511,221,41,18,288
3,0.892606,0.849840,0.950000,0.897133,0.790861,0.935652,0.836806,241,47,14,266
4,0.887324,0.865889,0.942857,0.902736,0.773364,0.938754,0.818182,207,46,18,297
5,0.878521,0.850440,0.941558,0.893683,0.758165,0.936457,0.803846,209,51,18,290
6,0.876761,0.833828,0.952542,0.889241,0.760208,0.959769,0.794872,217,56,14,281
7,0.901235,0.870370,0.952703,0.909677,0.805204,0.961579,0.845018,229,42,14,282
8,0.865961,0.825000,0.929577,0.874172,0.737837,0.936035,0.802120,227,56,20,264
9,0.908289,0.864615,0.972318,0.915309,0.822755,0.960818,0.841727,234,44,8,281
10,0.881834,0.846626,0.941980,0.891761,0.767747,0.953888,0.817518,224,50,17,276
