fold,accuracy,precision,recall,f1,mcc,auc,specificity,tn,fp,fn,tp
1,0.860915,0.866883,0.875410,0.871126,0.720123,0.944524,0.844106,222,41,38,267
2,0.867958,0.908127,0.839869,0.872666,0.738412,0.948286,0.900763,236,26,49,257
3,0.885563,0.879859,0.889286,0.884547,0.771158,0.953075,0.881944,254,34,31,249
4,0.864437,0.878981,0.876190,0.877583,0.725715,0.938578,0.849802,215,38,39,276
5,0.845070,0.852564,0.863636,0.858065,0.687607,0.921266,0.823077,214,46,42,266
6,0.859155,0.847896,0.888136,0.867550,0.718225,0.930701,0.827839,226,47,33,262
7,0.888889,0.897611,0.888514,0.893039,0.777493,0.948140,0.889299,241,30,33,263
8,0.878307,0.888087,0.866197,0.877005,0.756854,0.942915,0.890459,252,31,38,246
9,0.853616,0.838816,0.882353,0.860034,0.707814,0.936248,0.823741,229,49,34,255
10,0.876543,0.877966,0.883959,0.880952,0.752769,0.936897,0.868613,238,36,34,259
