fold,accuracy,precision,recall,f1,mcc,auc,specificity,tn,fp,fn,tp
1,0.950704,0.951140,0.957377,0.954248,0.900837,0.991535,0.942966,248,15,13,292
2,0.943662,0.950658,0.944444,0.947541,0.886728,0.985693,0.942748,247,15,17,289
3,0.911972,0.902098,0.921429,0.911661,0.824145,0.978447,0.902778,260,28,22,258
4,0.940141,0.927052,0.968254,0.947205,0.879282,0.988305,0.905138,229,24,10,305
5,0.929577,0.929487,0.941558,0.935484,0.858058,0.982268,0.915385,238,22,18,290
6,0.936620,0.924590,0.955932,0.940000,0.873420,0.989172,0.915751,250,23,13,282
7,0.964727,0.960000,0.972973,0.966443,0.929365,0.994378,0.955720,259,12,8,288
8,0.941799,0.922559,0.964789,0.943201,0.884519,0.984472,0.918728,260,23,10,274
9,0.952381,0.945578,0.961938,0.953688,0.904834,0.988437,0.942446,262,16,11,278
10,0.934744,0.926667,0.948805,0.937605,0.869500,0.983707,0.919708,252,22,15,278
