fold,accuracy,precision,recall,f1,mcc,auc,specificity,tn,fp,fn,tp
1,0.934859,0.943709,0.934426,0.939044,0.869154,0.987446,0.935361,246,17,20,285
2,0.920775,0.954704,0.895425,0.924115,0.843312,0.985095,0.950382,249,13,32,274
3,0.904930,0.915441,0.889286,0.902174,0.810068,0.980605,0.920139,265,23,31,249
4,0.940141,0.960656,0.930159,0.945161,0.879862,0.985846,0.952569,241,12,22,293
5,0.911972,0.932886,0.902597,0.917492,0.823722,0.975194,0.923077,240,20,30,278
6,0.920775,0.916667,0.932203,0.924370,0.841334,0.983796,0.908425,248,25,20,275
7,0.947090,0.961806,0.935811,0.948630,0.894462,0.990925,0.959410,260,11,19,277
8,0.931217,0.929825,0.933099,0.931459,0.862438,0.985853,0.929329,263,20,19,265
9,0.941799,0.960432,0.923875,0.941799,0.884307,0.987217,0.960432,267,11,22,267
10,0.932981,0.960289,0.907850,0.933333,0.867445,0.985227,0.959854,263,11,27,266
