fold,accuracy,precision,recall,f1,mcc,auc,specificity,tn,fp,fn,tp
1,0.936620,0.935275,0.947541,0.941368,0.872497,0.982547,0.923954,243,20,16,289
2,0.924296,0.931148,0.928105,0.929624,0.847725,0.976182,0.919847,241,21,22,284
3,0.908451,0.895833,0.921429,0.908451,0.817262,0.971838,0.895833,258,30,22,258
4,0.926056,0.922601,0.946032,0.934169,0.850210,0.978217,0.901186,228,25,17,298
5,0.913732,0.916399,0.925325,0.920840,0.826114,0.974213,0.900000,234,26,23,285
6,0.922535,0.898413,0.959322,0.927869,0.846532,0.982865,0.882784,241,32,12,283
7,0.945326,0.934426,0.962838,0.948419,0.890738,0.988007,0.926199,251,20,11,285
8,0.913580,0.895623,0.936620,0.915663,0.828017,0.982183,0.890459,252,31,18,266
9,0.931217,0.919463,0.948097,0.933560,0.862733,0.974285,0.913669,254,24,15,274
10,0.932981,0.923588,0.948805,0.936027,0.866030,0.978650,0.916058,251,23,15,278
