fold,accuracy,precision,recall,f1,mcc,auc,specificity,tn,fp,fn,tp
1,0.943662,0.941748,0.954098,0.947883,0.886675,0.988431,0.931559,245,18,14,291
2,0.938380,0.953177,0.931373,0.942149,0.876523,0.984670,0.946565,248,14,21,285
3,0.936620,0.942029,0.928571,0.935252,0.873276,0.985702,0.944444,272,16,20,260
4,0.943662,0.954984,0.942857,0.948882,0.886232,0.985394,0.944664,239,14,18,297
5,0.927817,0.937705,0.928571,0.933116,0.854774,0.979645,0.926923,241,19,22,286
6,0.931338,0.926667,0.942373,0.934454,0.862510,0.987273,0.919414,251,22,17,278
7,0.947090,0.949324,0.949324,0.949324,0.893974,0.991635,0.944649,256,15,15,281
8,0.938272,0.930796,0.947183,0.938918,0.876675,0.988466,0.929329,263,20,15,269
9,0.941799,0.950704,0.934256,0.942408,0.883731,0.986732,0.949640,264,14,19,270
10,0.932981,0.938144,0.931741,0.934932,0.865864,0.986062,0.934307,256,18,20,273
