phage,host,class,dataset,morphology,concentration
KT591076,CP027541,1,train,Siphoviridae,0.001
MH051254,NBSQ01000002,0,train,Podoviridae,0.001
MH727550,CP032788,1,train,Siphoviridae,0.001
JN561150,CP027541,1,train,Siphoviridae,0.001
NC_023723,CP032627,0,train,Podoviridae,0.001
MH399788,CP027541,1,train,Podoviridae,0.001
MH229864,AP009493,1,train,Siphoviridae,0.001
MH651174,CP027541,1,train,Myoviridae,0.001
KT372003,CP027541,1,train,Siphoviridae,0.001
NC_025438,QMJJ01000001,0,train,Siphoviridae,0.001
NC_028907,NC_014640,0,train,Siphoviridae,0.001
MH744415,CP027541,1,train,Siphoviridae,0.001
NC_031126,NZ_NQJM01000001,1,train,Podoviridae,0.001
MH045568,NZ_JNYC01000004,0,train,Siphoviridae,0.001
NC_022768,AP014565,1,train,Myoviridae,0.001
MH697586,CP027541,1,train,Podoviridae,0.001
NC_028851,CP023483,0,train,Myoviridae,0.001
MK112552,NZ_FLYG01000003,0,train,Myoviridae,0.001
JF704116,CP027541,1,train,Myoviridae,0.001
NC_031127,NZ_NQJM01000001,1,train,Myoviridae,0.001
NC_005355,CP012196,0,train,Podoviridae,0.001
NC_024121,CP029449,1,train,Podoviridae,0.001
NC_022057,CP027541,1,train,Myoviridae,0.001
KC661276,CP027541,1,train,Myoviridae,0.001
JF704109,CP027541,1,train,Podoviridae,0.001
NC_030953,CP029449,0,train,Podoviridae,0.001
NC_009812,CP027029,1,train,Podoviridae,0.001
NC_004688,PDLE01000004,0,train,Siphoviridae,0.001
NC_011421,CP012196,0,train,Siphoviridae,0.001
MH450128,CP027541,1,train,Siphoviridae,0.001
NC_022052,CP027541,1,train,Myoviridae,0.001
NC_023577,NZ_CM001889,0,train,Siphoviridae,0.001
MF324915,CP027541,1,train,Myoviridae,0.001
NC_027393,CP012196,0,train,Myoviridae,0.001
NC_021335,CP034692,1,train,Siphoviridae,0.001
KY385384,CP027541,1,train,Myoviridae,0.001
MF185718,LC361338,1,train,Siphoviridae,0.001
MG839030,NZ_LT629758,0,train,Siphoviridae,0.001
KX579975,NZ_FNRZ01000004,0,train,Podoviridae,0.001
MH450120,LC361338,1,train,Siphoviridae,0.001
KU189325,AP009493,1,train,Podoviridae,0.001
NC_028977,NZ_UWXU01000001,1,train,Siphoviridae,0.001
NC_023686,CP027541,1,train,Siphoviridae,0.001
MH045555,NC_011184,0,train,Podoviridae,0.001
KX443695,SDYW01000001,0,train,Podoviridae,0.001
NC_028778,CP027541,1,train,Siphoviridae,0.001
KX648391,NZ_UHFW01000006,0,train,Myoviridae,0.001
MH051259,CP027541,1,train,Podoviridae,0.001
MH479913,NZ_CP029604,1,train,Myoviridae,0.001
MH001458,CP027541,1,train,Myoviridae,0.001
MG925352,NZ_FNLM01000034,0,train,Myoviridae,0.001
NC_004303,NZ_LT629739,0,train,Podoviridae,0.001
KX585253,CP019668,0,train,Myoviridae,0.001
JF792674,CP027541,1,train,Podoviridae,0.001
MH338236,CP027541,1,train,Myoviridae,0.001
MH536824,NZ_CP029604,1,train,Siphoviridae,0.001
KT438500,CP027541,1,train,Siphoviridae,0.001
NC_028663,CP012196,0,train,Podoviridae,0.001
MH171095,NZ_OCQN01000001,1,train,Siphoviridae,0.001
KR337650,CP012196,0,train,Siphoviridae,0.001
NC_008363,NZ_CM007353,1,train,Myoviridae,0.001
MK279904,CP027541,1,train,Podoviridae,0.001
MH779499,SDYW01000001,0,train,Myoviridae,0.001
NC_028837,CP020557,1,train,Myoviridae,0.001
NC_025422,CP023315,1,train,Myoviridae,0.001
MH669017,CP027541,1,train,Myoviridae,0.001
KY702574,NZ_JNIU01000001,0,train,Myoviridae,0.001
NC_004687,CP020451,0,train,Myoviridae,0.001
MH697577,NZ_UFTK01000001,0,train,Myoviridae,0.001
KT184694,CP027541,1,train,Podoviridae,0.001
MK359311,CP027541,1,train,Siphoviridae,0.001
MF919514,CP023483,0,train,Myoviridae,0.001
MH669007,CP018657,0,train,Myoviridae,0.001
MK392367,CP027541,1,train,Myoviridae,0.001
MH450133,NZ_AOLH01000002,0,train,Myoviridae,0.001
MG099945,CP027541,1,train,Myoviridae,0.001
NC_028982,CP012196,0,train,Myoviridae,0.001
NC_029074,CP029620,0,train,Siphoviridae,0.001
MK524491,CP027541,1,train,Siphoviridae,0.001
MH727545,NZ_UWXU01000001,0,train,Myoviridae,0.001
MH651172,AP009493,1,train,Siphoviridae,0.001
KP876465,AP009493,1,train,Podoviridae,0.001
KM347890,MH841968,0,train,Myoviridae,0.001
KU160651,LC361338,1,train,Podoviridae,0.001
MH590596,CP024902,0,train,Podoviridae,0.001
NC_029075,MF925712,0,train,Myoviridae,0.001
MG962374,NZ_AOLS01000062,0,train,Siphoviridae,0.001
JQ684677,CP005486,0,train,Podoviridae,0.001
NC_009904,NZ_UGJA01000003,1,train,Myoviridae,0.001
NC_027394,QMJJ01000001,0,train,Podoviridae,0.001
NC_025429,CP020567,0,train,Podoviridae,0.001
KT783672,NZ_LT961733,0,train,Podoviridae,0.001
KX580962,NZ_UZVX01000004,0,train,Podoviridae,0.001
MG962375,NZ_OCQN01000001,0,train,Siphoviridae,0.001
NC_007809,CP012196,0,train,Podoviridae,0.001
NC_031054,CP012196,0,train,Podoviridae,0.001
NC_030915,NZ_CP029604,1,train,Podoviridae,0.001
NC_019457,KP691602,0,train,Siphoviridae,0.001
NC_009760,CP012196,0,train,Podoviridae,0.001
NC_027384,CP012196,0,train,Podoviridae,0.001
NC_021328,CP019668,0,train,Siphoviridae,0.001
NC_018860,CP012196,0,train,Siphoviridae,0.001
MK376962,NZ_CP029604,1,train,Siphoviridae,0.001
NC_021533,CP033337,0,train,Podoviridae,0.001
MK524515,CP027541,1,train,Siphoviridae,0.001
KR997929,NZ_UGVK01000001,0,train,Siphoviridae,0.001
NC_009813,CP027029,1,train,Podoviridae,0.001
NC_017980,CP019576,1,train,Siphoviridae,0.001
MG839017,CP019892,1,train,Podoviridae,0.001
MF324904,NZ_UFTQ01000001,0,train,Myoviridae,0.001
MK305892,CP020358,0,train,Siphoviridae,0.001
MK433275,CP025034,0,train,Myoviridae,0.001
JF937100,CP027541,1,train,Podoviridae,0.001
MH727548,NZ_JXYE01000002,0,train,Siphoviridae,0.001
NC_027345,CP012196,0,train,Podoviridae,0.001
MH779502,CP027541,1,train,Myoviridae,0.001
NC_018264,CP012196,0,train,Podoviridae,0.001
JN699013,CP027541,1,train,Siphoviridae,0.001
JX649097,CP027541,1,train,Siphoviridae,0.001
NC_028768,NC_014640,1,train,Myoviridae,0.001
NC_019513,NZ_CP023560,1,train,Podoviridae,0.001
MK359317,CP027541,1,train,Siphoviridae,0.001
NC_023602,NZ_LT629770,0,train,Myoviridae,0.001
MG663585,AP009493,1,train,Siphoviridae,0.001
NC_028683,CP028813,1,train,Siphoviridae,0.001
KP027198,NZ_JXYE01000002,0,train,Podoviridae,0.001
NC_010342,NZ_FODB01000001,1,train,Siphoviridae,0.001
NC_008721,NZ_AOLS01000062,0,train,Podoviridae,0.001
NC_028750,NZ_JXYE01000002,0,train,Siphoviridae,0.001
MG757164,CP027541,1,train,Myoviridae,0.001
MF072690,NVTK01000009,0,train,Siphoviridae,0.001
NC_027359,CP012196,0,train,Podoviridae,0.001
NC_002700,CP012196,0,train,Podoviridae,0.001
KX620754,CP030279,1,train,Myoviridae,0.001
MH001446,CP027541,1,train,Siphoviridae,0.001
MG198777,CP017101,0,train,Siphoviridae,0.001
MH479921,CP027541,1,train,Myoviridae,0.001
KU998254,NZ_KN046795,0,train,Siphoviridae,0.001
NC_016567,NZ_LK391965,1,train,Siphoviridae,0.001
MH271320,CP017605,0,train,Podoviridae,0.001
NC_013197,AP017920,1,train,Siphoviridae,0.001
MK308637,AP014565,0,train,Siphoviridae,0.001
KX620748,NZ_UHFW01000006,0,train,Myoviridae,0.001
NC_008721,CP025095,1,train,Podoviridae,0.001
KM408320,CP027541,1,train,Myoviridae,0.001
NC_031077,NZ_KN150799,1,train,Podoviridae,0.001
MK279863,NZ_UFTQ01000001,0,train,Siphoviridae,0.001
NC_031939,CP030026,1,train,Siphoviridae,0.001
NC_027119,CP030026,1,train,Siphoviridae,0.001
MF140399,MTKC01000003,0,train,Podoviridae,0.001
NC_000871,LS483339,1,train,Podoviridae,0.001
NC_031052,NZ_CP029604,1,train,Myoviridae,0.001
NC_028910,CP027541,1,train,Podoviridae,0.001
MG099951,CP027541,1,train,Siphoviridae,0.001
MH316565,CP027541,1,train,Siphoviridae,0.001
MH727546,NZ_AOLR01000018,0,train,Podoviridae,0.001
NC_035117,CP012196,0,train,Siphoviridae,0.001
NC_026591,CP027541,1,train,Siphoviridae,0.001
MH632120,CP027541,1,train,Podoviridae,0.001
KT716493,NZ_CP029289,0,train,Podoviridae,0.001
NC_030914,NZ_CP029604,1,train,Siphoviridae,0.001
MH230874,NC_000001,0,train,Siphoviridae,0.001
NC_020845,CP012196,0,train,Siphoviridae,0.001
MF189176,MH202953,0,train,Myoviridae,0.001
MH651177,CP027541,1,train,Myoviridae,0.001
MK279865,CP027541,1,train,Myoviridae,0.001
MH051250,CP020809,0,train,Podoviridae,0.001
NC_019514,NZ_QTTZ01000001,0,train,Myoviridae,0.001
NC_024356,NZ_CM002276,0,train,Podoviridae,0.001
MH020244,CP027541,1,train,Podoviridae,0.001
MH271296,MTKC01000003,0,train,Myoviridae,0.001
NC_011038,RKJP01000005,1,train,Myoviridae,0.001
KT588442,CP027541,1,train,Myoviridae,0.001
MH926061,CP032788,1,train,Siphoviridae,0.001
JF704104,CP018363,0,train,Myoviridae,0.001
MH834619,NZ_LT629758,0,train,Siphoviridae,0.001
KU963261,NZ_CP029604,1,train,Podoviridae,0.001
NC_031071,NZ_CM007353,1,train,Siphoviridae,0.001
KX702319,MH400164,0,train,Myoviridae,0.001
NC_011043,CP028366,0,train,Podoviridae,0.001
MG872842,CP027541,1,train,Podoviridae,0.001
NC_005887,CP012196,0,train,Podoviridae,0.001
NC_021068,NC_011184,1,train,Siphoviridae,0.001
NC_028674,NZ_UZVX01000004,0,train,Myoviridae,0.001
MH976512,NZ_CP029604,1,train,Podoviridae,0.001
NC_028838,NZ_KE356190,0,train,Podoviridae,0.001
MH020249,NBSQ01000002,0,train,Podoviridae,0.001
NC_008723,NZ_LT571449,1,train,Siphoviridae,0.001
NC_027355,CP012196,0,train,Siphoviridae,0.001
MF919494,NC_000001,0,train,Myoviridae,0.001
JN699017,CP027541,1,train,Siphoviridae,0.001
KY965064,CP019892,0,train,Podoviridae,0.001
MH399787,CP027541,1,train,Myoviridae,0.001
NC_011271,NZ_JNYC01000004,0,train,Podoviridae,0.001
NC_022063,CP026100,0,train,Podoviridae,0.001
KU998244,CP031023,0,train,Siphoviridae,0.001
NC_022983,CP029760,0,train,Myoviridae,0.001
MH727559,CP027541,1,train,Siphoviridae,0.001
KR337644,CP012196,0,train,Siphoviridae,0.001
NC_028782,CP022674,1,train,Myoviridae,0.001
MH576971,CP027541,1,train,Podoviridae,0.001
MF140426,LC361338,1,train,Podoviridae,0.001
NC_031942,NZ_LK391965,0,train,Myoviridae,0.001
NC_020870,CP022426,0,train,Podoviridae,0.001
NC_031245,CP012196,0,train,Myoviridae,0.001
JN699013,NZ_LT629758,0,train,Siphoviridae,0.001
NC_015453,CP012196,0,train,Myoviridae,0.001
NC_023552,CP027541,1,train,Siphoviridae,0.001
MF347639,CP012196,0,train,Myoviridae,0.001
NC_030935,CP032523,0,train,Siphoviridae,0.001
NC_009127,MH202953,1,train,Podoviridae,0.001
NC_009877,CP027541,1,train,Podoviridae,0.001
NC_028852,CP032627,0,train,Podoviridae,0.001
KT281790,NC_011184,0,train,Podoviridae,0.001
NC_031060,CP033337,0,train,Siphoviridae,0.001
HM152765,CP027541,1,train,Podoviridae,0.001
KY471460,CP027541,1,train,Myoviridae,0.001
NC_026604,CP027541,1,train,Myoviridae,0.001
MF185722,CP027029,0,train,Myoviridae,0.001
NC_028654,CP027541,1,train,Siphoviridae,0.001
MF189175,MH400164,0,train,Podoviridae,0.001
KX557274,NZ_CP029604,1,train,Podoviridae,0.001
KU963252,NZ_CP029604,1,train,Podoviridae,0.001
NC_021533,NVUT01000001,0,train,Podoviridae,0.001
NC_030910,CP012196,0,train,Siphoviridae,0.001
NC_016073,NZ_FNLM01000034,0,train,Myoviridae,0.001
NC_001331,CP012196,0,train,Myoviridae,0.001
NC_008723,CP019576,0,train,Siphoviridae,0.001
KU998243,NZ_CP029604,1,train,Podoviridae,0.001
NC_008200,CP027541,1,train,Myoviridae,0.001
